expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
AMAD02303,AMAD,2002,3,France,Frederic Buet,French Ama Dablam Expedition 2002,TRUE,11,10,0,FALSE
AMAD02304,AMAD,2002,3,Austria,Stefan Jungmann,Ama Dablam Expedition 2002,TRUE,4,2,0,FALSE
AMAD02305,AMAD,2002,3,Austria,Markus Raich,Austrian Salzkammergut Expedition to Ama Dablam,TRUE,7,1,0,FALSE
AMAD02306,AMAD,2002,3,Germany,Michael Waerthl,Amical Alpin Ama Dablam Expedition 2002,TRUE,12,7,0,FALSE
AMAD02307,AMAD,2002,3,Spain,Jordi Camprubi Casas,Catalan Ama Dablam Expedition,FALSE,2,0,0,FALSE
AMAD02308,AMAD,2002,3,Italy,Angelo Giovanetti,Independent Italian team,TRUE,2,1,0,FALSE
AMAD02309,AMAD,2002,3,France,Sebastien Fonteneau,Amis Dablam,TRUE,7,7,0,FALSE
AMAD02310,AMAD,2002,3,Poland,Ryszard Pawlowski,Patagonia Mountain Agency (PMA) Ama Dablam Expedition 2002,TRUE,12,9,0,FALSE
AMAD02311,AMAD,2002,3,USA,Damian Benegas,Mountain Madness Ama Dablam Expedition 2002,TRUE,3,3,0,FALSE
AMAD02312,AMAD,2002,3,USA,Mark Houston,American Ama Dablam Expedition,TRUE,2,2,0,FALSE
AMAD02313,AMAD,2002,3,USA,Bill Crouse,Adventure Consultants Ama Dablam Expedition 2002,TRUE,5,5,0,FALSE
AMAD02314,AMAD,2002,3,Italy,Luca Febbraio,AD 2002 Expedition to Ama Dablam,TRUE,3,1,0,FALSE
AMAD02315,AMAD,2002,3,USA,Thondup Saari,Rangzewn Expedition to Ama Dablam,TRUE,3,3,0,FALSE
AMAD02316,AMAD,2002,3,USA,Eric Larson,Autumn 2002 Season's Expedition,FALSE,1,0,0,FALSE
AMAD02317,AMAD,2002,3,USA,Dave McNally,2002 American Ama Dablam Expedition,TRUE,2,1,0,FALSE
AMAD02318,AMAD,2002,3,USA,Wally Berg,Berg Adventures Ama Dablam 2002,TRUE,6,6,0,FALSE
AMAD02319,AMAD,2002,3,Australia,Duncan Chessell,DCXP Ama Dablam Expedition 2002,FALSE,3,0,0,FALSE
AMAD02320,AMAD,2002,3,UK,Henry Todd,Himalayan Guides Ama Dablam Expedition,TRUE,17,11,0,FALSE
AMAD02321,AMAD,2002,3,USA,Dan Mazur,SummitClimb Ama Dablam Expedition 2002,TRUE,25,14,0,FALSE
AMAD02401,AMAD,2002,4,Japan,Keiichi Takeuchi,Kai Mountain School Ama Dablam,TRUE,2,1,0,FALSE
AMAD02402,AMAD,2002,4,Russia,Vladimir Belousov,Russia Ama Dablam Expedition,FALSE,3,0,0,FALSE
AMAD02403,AMAD,2002,4,USA,James Williams,Alpine Ascents International (AAI) Ama Dablam Expedition 2002,TRUE,7,3,0,FALSE
AMAD02404,AMAD,2002,4,UK,Kenton Cool,Jagged Globe Ama Dablam Expedition 2002,TRUE,6,4,0,FALSE
AMAD02405,AMAD,2002,4,France,Olivier Besson,French-Italian Expedition to Ama Dablam,TRUE,3,2,0,FALSE
ANN102301,ANN1,2002,3,Italy,Christian Kuntner,International Annapurna Expedition,FALSE,6,0,0,FALSE
ANN302301,ANN3,2002,3,S Korea,Lee Jong-Wook,2002 Alpine Club Rock Party Annapurna III Expedition,FALSE,7,0,0,FALSE
ANN402301,ANN4,2002,3,France,Georges Derycke,Allibert Annapurna IV Expedition,FALSE,8,0,0,FALSE
ANN402302,ANN4,2002,3,Austria,Peter Plank,Friends of Nature Annapurna IV Expedition 2002,FALSE,7,0,0,FALSE
ANNS02301,ANNS,2002,3,France,Benoit Jacquemot,C'est Encore Loin la Mer? Annapurna South 1982-2002,FALSE,10,0,0,FALSE
BARU02301,BARU,2002,3,Japan,Chizuko Kono,Nerima Alpine Club Nepal Himalaya Expedition 2002,FALSE,2,0,0,FALSE
BARU02302,BARU,2002,3,Italy,Ivano Bianchi,Independent team (on Canadian permit),FALSE,2,0,0,FALSE
BARU02303,BARU,2002,3,Russia,Sergei Petrov,Angarsk Himalayan Expedition to Himalaya,TRUE,6,4,0,FALSE
BARU02304,BARU,2002,3,France,Pierre Croiset,Atalante Baruntse Expedition,TRUE,8,4,0,FALSE
BARU02305,BARU,2002,3,Germany,Robert Rackl,Amical Alpin Baruntse Expedition 2002,FALSE,8,0,0,FALSE
BARU02306,BARU,2002,3,Spain,Eduardo Portela Fernandez,Oxygen Group Himalaya Expedition 2002 to Baruntse,FALSE,2,0,0,FALSE
BARU02307,BARU,2002,3,Canada,Steve Adamson,Canadian Baruntse Expedition,FALSE,4,0,0,FALSE
BARU02308,BARU,2002,3,Italy,Hermann Tauber,International Expedition 2002 to Baruntse,FALSE,12,0,0,FALSE
BHRI02301,BHRI,2002,3,Belgium,Doug Rossillon,Bhrikuti Expedition 2002,TRUE,3,2,0,FALSE
BTAK02301,BTAK,2002,3,Japan,Sadamusa Kitagawa,Japan Alpine Photograph Club Joint Expedition to Bhairab Takura,FALSE,1,0,0,FALSE
CHOY02327,CHOY,2002,3,Switzerland,Nicolas Weibel,Swiss Crepe Expedition 2002 to Cho Oyu,TRUE,5,4,0,FALSE
CHOY02301,CHOY,2002,3,Italy,Emilio Previtali,Free Ride Spirit Snowboard Expedition Cho Oyu,FALSE,2,0,0,FALSE
CHOY02302,CHOY,2002,3,Italy,Giuseppe Pompili,2002 Adventure in the World Cho Oyu Expedition,TRUE,5,4,0,FALSE
CHOY02303,CHOY,2002,3,Spain,Juan Carlos Garcia Gallego,Murcia Cho Oyu Expedition,TRUE,4,1,0,FALSE
CHOY02304,CHOY,2002,3,Spain,Joan Casoliva,Expedicio Bergveda 2002 Cho Oyu,TRUE,7,4,0,FALSE
CHOY02305,CHOY,2002,3,Norway,Kine Henriksen,Independent climber on Cho Oyu (on Benegas permit),FALSE,1,0,0,FALSE
CHOY02306,CHOY,2002,3,France,Bernard Muller,Stages and Expeditions French Cho Oyu Expedition,FALSE,7,0,0,FALSE
CHOY02307,CHOY,2002,3,Spain,Jose Javier Otamendi Pastor,Cho Oyu Expedition 2002,TRUE,4,2,0,FALSE
CHOY02308,CHOY,2002,3,Spain,Juanito Oiarzabal,Seat Canary Islands Himalaya 2002 to Cho Oyu,TRUE,7,5,0,FALSE
CHOY02309,CHOY,2002,3,Germany,Chris Semmel,Amical Alpin Cho Oyu Expedition 2002,TRUE,18,8,0,TRUE
CHOY02310,CHOY,2002,3,Spain,Edurne Pasaban,Cho Oyu Expedition,TRUE,7,2,0,FALSE
CHOY02311,CHOY,2002,3,Italy,Giampaolo Casarotto,Focus Italian Adio Cho Oyu Expedition,TRUE,14,4,0,FALSE
CHOY02312,CHOY,2002,3,Italy,Alberto Bianchetti,Cho Oyu 2002 Expedition,TRUE,10,1,0,FALSE
CHOY02313,CHOY,2002,3,Italy,Rocco Venditti,Progetto Quota 8000 Cho Oyu,FALSE,5,0,0,FALSE
CHOY02314,CHOY,2002,3,New Zealand,Russell Brice,Himalayan Experience (Himex) Cho Oyu Expedition 2002,TRUE,9,3,0,TRUE
CHOY02315,CHOY,2002,3,Japan,Haruki Inokuchi,Chamonix Club Cho Oyu 2002 Autumn Expedition,FALSE,1,0,0,FALSE
CHOY02316,CHOY,2002,3,Canada,Ian Scanlan,Independent climber (on Benegas permit?),FALSE,1,0,0,FALSE
CHOY02317,CHOY,2002,3,Switzerland,Ernst Marti,Swiss Cho Oyu Expedition,TRUE,4,1,0,FALSE
CHOY02318,CHOY,2002,3,Japan,Toshikatsu Horinaga,FYK Cho Oyu Expedition 2002,FALSE,3,0,0,FALSE
CHOY02319,CHOY,2002,3,Japan,Shigeo Tamoi,Independent climber,FALSE,1,0,0,FALSE
CHOY02320,CHOY,2002,3,UK,Henry Todd,Himalayan Guides Cho Oyu Expedition 2002,TRUE,5,2,0,TRUE
CHOY02321,CHOY,2002,3,USA,Damian Benegas,Mountain Madness Cho Oyu Expedition 2002,FALSE,4,0,0,TRUE
CHOY02322,CHOY,2002,3,UK,Michael (Mick) Bromley,Anglo-Neplese Cho Oyu Expedition 2002,FALSE,5,0,0,FALSE
CHOY02323,CHOY,2002,3,UK,Jason McMillan,McMillan Cho Oyu Expedition,TRUE,1,1,0,FALSE
CHOY02324,CHOY,2002,3,USA,Eric Larson,Alpine Ascents International (AAI) Cho Oyu Expedition 2002,FALSE,4,0,0,FALSE
CHOY02325,CHOY,2002,3,Japan,Kenji Kondo,Adventure Guides Cho Oyu Expedition 2002,TRUE,13,9,0,TRUE
CHOY02326,CHOY,2002,3,USA,Ben Marshall,International Mountain Guides (IMG) Cho Oyu Expedition 2002,TRUE,14,6,0,TRUE
CHOY02127,CHOY,2002,1,Germany,Georg Brosig,Independent team to Cho Oyu (Thamserku permit),TRUE,2,1,0,FALSE
CHOY02328,CHOY,2002,3,Japan,"Shiori Hashimoto, Gui Sang",Chinese-Japanese Women's Mt. Cho Oyu Expedition 2002,TRUE,13,11,0,TRUE
CHOY02401,CHOY,2002,4,Spain,Alberto Inurrategi,Basque Television Cho Oyo Expedition,TRUE,3,2,0,FALSE
CHOL02301,CHOL,2002,3,S Korea,Kang Sung-Woo,2002 Corean Alpine Club Nepal Cholatse Expedition,FALSE,9,0,0,FALSE
CHOP02301,CHOP,2002,3,Japan,Masamichi Yamaguchi,Masamichi Cho Polu Solo Expedition,FALSE,1,0,0,FALSE
DHA102305,DHA1,2002,3,Spain,Esteban Lopez Sanchez,Spanish High Mountain Military Group to Dhaulagiri 2002,FALSE,10,0,0,FALSE
DHA102301,DHA1,2002,3,Germany,Peter Guggemos,Independent climber (on French permit),FALSE,1,0,0,FALSE
DHA102302,DHA1,2002,3,France,Ludovic Challeat,Dhaulagiri Expedition,FALSE,8,0,0,FALSE
DHA102303,DHA1,2002,3,Spain,Inaki Ochoa,Independent climber (on French permit),FALSE,1,0,0,FALSE
DHA102304,DHA1,2002,3,Ukraine,Vladislav Terzyul,Independent climbers,TRUE,2,2,0,FALSE
DORJ02301,DORJ,2002,3,France,Denis Etienne,Terres d'Adventure Joint Expedition to Dorje Lhakpa,TRUE,5,3,0,FALSE
EVER02301,EVER,2002,3,France,Marco Siffredi,France,TRUE,2,1,1,TRUE
EVER02302,EVER,2002,3,Brazil,Waldemar Niclevicz,Brazilian Expedition to the Top of the World,FALSE,5,0,0,TRUE
EVER02303,EVER,2002,3,Canada,Owen Davies,Are We there Yet Everest Expedition,FALSE,1,0,0,TRUE
EVER02304,EVER,2002,3,Japan,Eiichi Usami,Team Ukyo Mt. Everest Expedition,FALSE,3,0,0,TRUE
EVER02305,EVER,2002,3,S Korea,Lee Se-Jung,2002 South Korea,FALSE,6,0,0,TRUE
GYAC02301,GYAC,2002,3,Japan,Yasushi Yamanoi,Japanese Team on Gyachung Kang,TRUE,2,1,0,FALSE
GYAJ02301,GYAJ,2002,3,Belgium,Peter Van den Bossche,International Gyajikang Expedition,FALSE,3,0,0,FALSE
HIML02301,HIML,2002,3,France,Paulo Grobel,Terres d'Adventure Himlung Expedition,TRUE,10,5,0,FALSE
JANU02301,JANU,2002,3,Switzerland,Erhard Loretan,Swiss Expedition Jannu,FALSE,3,0,0,FALSE
JANU02401,JANU,2002,4,Spain,Manuel Gonzalez Diaz,Andalucia Jannu 2002,FALSE,7,0,0,FALSE
KGUR02301,KGUR,2002,3,France,Yves Gourgaud,French Team to Kang Guru,TRUE,8,2,0,FALSE
KIRA02301,KIRA,2002,3,Slovenia,Gregor Kresal,Himalaya Janak 2002,FALSE,12,0,0,FALSE
KYAZ02301,KYAZ,2002,3,France,Duncan Wilson,Kyazo Ri expedition,TRUE,5,2,0,FALSE
KYAZ02302,KYAZ,2002,3,USA,Matt Fioretti,American Kyazo Ri Expedition,FALSE,4,0,0,FALSE
LHOT02301,LHOT,2002,3,Japan,Toichiro Mitani,Meiji University Lhotse Expedition,TRUE,6,6,0,TRUE
LHOT02302,LHOT,2002,3,Brazil,Waldemar Niclevicz,Brazilian Expedition to the Top of the World,TRUE,5,2,0,TRUE
MAK202301,MAK2,2002,3,Spain,Javier Ugarte Andreva,Himalaya Adventure Makalu II Expedition,TRUE,2,1,0,FALSE
NUMR02301,NUMR,2002,3,Germany,Olaf Rieck,Numri Expedition 2002,TRUE,7,3,0,FALSE
NUPE02301,NUPE,2002,3,Russia,Valeri Babanov,Nuptse South Face Expedition,FALSE,1,0,0,FALSE
PK4102301,PK41,2002,3,Slovenia,Matija Jost,Slovene Peak 41 Expedition,TRUE,6,3,0,FALSE
POKR02301,POKR,2002,3,UK,Stephen Town,British Damodar Himal Expedition 2002 to Pokharkang,TRUE,10,2,0,FALSE
POKR02302,POKR,2002,3,Japan,Koichi Kato,2002 Pokharkan Expedition,FALSE,1,0,0,FALSE
PUMO02301,PUMO,2002,3,UK,Mike Lamont,CERN Pumori 2002,FALSE,2,0,0,FALSE
PUTH02301,PUTH,2002,3,Austria,Guenther Mussnig,First Austrian Dhaulagiri VII (Putha Hiunchuli) Expedition,TRUE,10,2,0,FALSE
RAMC02301,RAMC,2002,3,Slovenia,Gregor Kresal,Himalaya Janak 2002 to Kiratchuli & Ramtang Chang,FALSE,12,0,0,FALSE
SARI02301,SARI,2002,3,Japan,Satoshi Arimura,,FALSE,2,0,0,FALSE
TILI02301,TILI,2002,3,Netherlands,Meinhard Van de Reep,Dutch Tilicho Peak Expedition 2002,FALSE,8,0,0,FALSE
TILI02302,TILI,2002,3,Austria,Reinhold Oblak,International Tilicho Peak Expedition 2002,FALSE,7,0,0,FALSE
TKPO02301,TKPO,2002,3,Czech Republic,Radek Lienerth,International Expedition to Tengkangpoche,FALSE,4,0,0,FALSE
TLNG02301,TLNG,2002,3,Japan,Masaki Hayashi,Hidden Himalaya Talung Peak Expedition,FALSE,3,0,0,FALSE
TLNG02302,TLNG,2002,3,Czech Republic,Martin Otta,Czech-Slovakian Expedition Talung 2002,TRUE,7,1,0,FALSE
TSOK95301,TSOK,1995,3,USA,Geoffrey Tabin,American Shey Shikhar Expedition,TRUE,7,3,0,FALSE
LHOT02303,LHOT,2002,3,S Korea,Lee Se-Jung,2002 South Korea,TRUE,8,4,0,TRUE
PAND02301,PAND,2002,3,Denmark,Henrik Hansen,Danish Danga Expedition,TRUE,4,3,0,FALSE
NAG102301,NAG1,2002,3,USA,David Morton,Nangpai Gosum American Expedition 2002,FALSE,2,0,0,FALSE
AMAD03101,AMAD,2003,1,Russia,Sergei Astakhov,Siberian Ama Dablam Expedition,TRUE,5,5,0,FALSE
AMAD03102,AMAD,2003,1,Georgia,Benedict Kashakashvili,Ama Dablam Georgian Expedition,TRUE,5,5,0,FALSE
AMAD03104,AMAD,2003,1,New Zealand,Dean Staples,Adventure Consultants Ama Dablam Expedition,FALSE,4,0,0,FALSE
AMAD03105,AMAD,2003,1,Switzerland,Michael Illien,Swiss Ama Dablam Expedition,TRUE,5,4,0,FALSE
AMAD03106,AMAD,2003,1,Germany,Joachim Jakobi,Independant Team on Ama Dablam,FALSE,3,0,0,FALSE
AMAD03107,AMAD,2003,1,USA,Peter Shelley,Ama Dablam Spring 2003,TRUE,4,1,0,FALSE
AMAD03108,AMAD,2003,1,Australia,Alan Silva,Jewel Seekers Sydney Ama Dablam Expedition,TRUE,8,7,0,FALSE
AMAD03103,AMAD,2003,1,Austria,Herbert Wolf,Austrians Friends of Nature Ama Dablam,TRUE,2,2,0,FALSE
ANN103101,ANN1,2003,1,Japan,Atsushi Yamamoto,Meiji University Annapurna I,TRUE,10,6,0,TRUE
BARU03101,BARU,2003,1,UK,Michael Grocott,Baruntse 2003 Expedition,FALSE,9,0,1,FALSE
BARU03102,BARU,2003,1,Serbia,Miodrag Jovovic,Vojvodina Expedition to Baruntse,TRUE,5,2,0,FALSE
CHOY03102,CHOY,2003,1,Czech Republic,Josef Kubicek,Libra AAC Cho Oyu Expedition 2003,FALSE,4,0,0,FALSE
CHOY03101,CHOY,2003,1,Australia,Paul Carr,Everest 2004/Make a Wish,FALSE,4,0,1,TRUE
CHOY03103,CHOY,2003,1,France,Yves Anciaux,Cho Oyu Xixabangma French Expedition 2003,TRUE,4,1,0,FALSE
CHOY03104,CHOY,2003,1,Spain,Jose Luis Anton Ortega,Spanish Cho Oyu - Getafe de Alaska al Himalaja,FALSE,7,0,0,FALSE
CHOY03105,CHOY,2003,1,Netherlands,Paul Boslooper,Paul-Rita Cho Oyu Expedition,TRUE,2,1,0,FALSE
CHOY03106,CHOY,2003,1,Germany,Thomas Laemmle,DAV Summit Club Cho Oyu Expedition,TRUE,5,3,0,FALSE
CHOY03107,CHOY,2003,1,Italy,Carlalberto Cimenti,Independent team on Cho Oyu,FALSE,3,0,0,FALSE
CHOY03108,CHOY,2003,1,Switzerland,Richard Bolt,Kobler & Partner Cho Oyu Expedition 2003,FALSE,8,0,0,FALSE
CHOY03109,CHOY,2003,1,Spain,Mikel Alvaraz,Cho Oyu International Expedition 2003,FALSE,3,0,0,FALSE
CHOY03110,CHOY,2003,1,Australia,Duncan Chessell,DCXP Cho Oyu & Xixabangma Expedition 2003,TRUE,5,3,0,TRUE
CHOY03111,CHOY,2003,1,UK,Terry Moore,Jagged Globe Cho Oyu Expedition 2003,TRUE,11,2,0,TRUE
CHOY03112,CHOY,2003,1,Germany,Hajo Netzer,Amical Alpin Cho Oyu Expedition 2003,TRUE,13,5,1,TRUE
DHA103101,DHA1,2003,1,Germany,Olaf Reeder,Oberhaching Dhaulagiri Expedition 2003,FALSE,2,0,0,FALSE
DHA103102,DHA1,2003,1,Sweden,Joakim Ahlin,First Swedish Dhaulagiri Expedition 2003,TRUE,6,1,0,FALSE
DHA103103,DHA1,2003,1,Chile,Jorge Cartegena Caceres,Chilean Expedition 2003,FALSE,6,0,0,FALSE
DHA103104,DHA1,2003,1,France,Jean-Christophe Lafaille,Independent climber on Dhaulagiri,TRUE,1,1,0,FALSE
DHA103105,DHA1,2003,1,Germany,Klaus Pangracz,Saxony Twins to Dhaulagiri,FALSE,2,0,0,FALSE
DHA103106,DHA1,2003,1,Germany,Jochen Haase,Amical Alpin Dhaulagiri I Expedition 2003,TRUE,10,3,0,TRUE
DHA103107,DHA1,2003,1,Germany,Goetz Wiegand,Saxony Himalaya Expedition 2003,TRUE,7,1,0,FALSE
DHA203101,DHA2,2003,1,Czech Republic,Pavel Trefil,Banik Havirov Dhaulagiri II Expedition,FALSE,7,0,0,FALSE
DORJ03101,DORJ,2003,1,Japan,Hirofumi Oka,Dorje Lhakpa 2003,TRUE,5,2,0,FALSE
EVER03101,EVER,2003,1,Japan,Yuichiro Miura,Miura Everest 2003,TRUE,5,3,0,TRUE
EVER03102,EVER,2003,1,Japan,Tateo Yamashita,Yamashita Tateo Qomolangma Expedition Kitakyusyu,FALSE,4,0,0,TRUE
EVER03103,EVER,2003,1,Nepal,Ang Chhiring Sherpa,Nepali Journalist's First Everest Expedition 2003,TRUE,1,1,0,TRUE
EVER03104,EVER,2003,1,India,Ashok Abbey (Indian team),Indo-Nepal Army Everest-Lhotse Expedition 2003,TRUE,23,9,0,TRUE
EVER03105,EVER,2003,1,Nepal,Surya Sen Thakuri (Nepalese team),Indo-Nepal Army Everest-Lhotse Expedition 2003,TRUE,19,10,1,TRUE
EVER03106,EVER,2003,1,Japan,Kiyoshi Ishii,Club Yeti Everest Expedition,FALSE,5,0,0,TRUE
EVER03107,EVER,2003,1,USA,Robert Hoffman,Everest 2003 - An American Commemorative Expedition,TRUE,9,4,0,TRUE
EVER03108,EVER,2003,1,USA,David Hahn,International Mountain Guides (IMG) South Side Everest Expedition 2003,TRUE,7,4,0,TRUE
EVER03109,EVER,2003,1,USA,Steven Marolt,Aspen Alpine Club Expedition 2003,TRUE,9,1,0,TRUE
EVER03110,EVER,2003,1,USA,Choongok Sunwoo,Korean-American Everest Expedition,FALSE,1,0,0,TRUE
EVER03111,EVER,2003,1,USA,Bill Crouse,Adventure Consultants on Everest 2003,TRUE,4,0,0,TRUE
EVER03112,EVER,2003,1,USA,Charles Wittmack,Asian Trekking Everest Dream (on Belgian Huygh permit),TRUE,1,1,0,TRUE
EVER03113,EVER,2003,1,USA,"Willi Prittie, Vernon Tejas",Alpine Ascents International (AAI) Everest Expedition 2003,TRUE,12,7,0,TRUE
EVER03114,EVER,2003,1,France,Jean-Michel Asselin,Everest Cinquante,TRUE,23,3,1,TRUE
EVER03115,EVER,2003,1,Belgium,Robert Huygh,Choas Team Everest 2003,TRUE,2,0,0,TRUE
EVER03117,EVER,2003,1,Italy,Tarcisio Bello,Everest Zone,TRUE,7,1,0,TRUE
EVER03118,EVER,2003,1,Spain,Jesus Elena Vera,Tarragona al Sostre del Mon Everest 2003,TRUE,9,0,0,TRUE
EVER03119,EVER,2003,1,Germany,Peter Guggemos,Independent climber,FALSE,1,0,0,FALSE
EVER03120,EVER,2003,1,Italy,Renzo Benedetti,Speizione Trentina dul Tetto del Mondo,FALSE,2,0,0,TRUE
EVER03121,EVER,2003,1,Germany,Eckhard Schmitt,Swiss-German Mount Everest Jubilee Everest Expedition 2003,TRUE,8,3,0,TRUE
EVER03122,EVER,2003,1,Italy,Manuel Lugli,Italy Everest Speed Expedition 2003,TRUE,8,1,0,TRUE
EVER03124,EVER,2003,1,USA,Gary Guller,Team Everest 2003,TRUE,4,1,0,TRUE
EVER03125,EVER,2003,1,USA,Paul Giorgio,Everest Treks Expedition,TRUE,3,1,0,TRUE
EVER03126,EVER,2003,1,Belgium,Bernard De Launoit,Everest 2003,TRUE,13,3,0,TRUE
EVER03127,EVER,2003,1,Canada,Christopher Allen,Independent climber on Everest,FALSE,1,0,0,FALSE
EVER03128,EVER,2003,1,S Africa,Alex Harris,Discovery 2003 Everest Expedition,TRUE,10,1,0,TRUE
EVER03129,EVER,2003,1,USA,Sean Burch,Dream Everest Expedition (on Belgian Huygh permit),TRUE,1,1,0,TRUE
EVER03130,EVER,2003,1,UK,John Baker,Peak Promotion 2003 Everest Expedition,TRUE,1,1,0,TRUE
EVER03131,EVER,2003,1,UK,Henry Todd,Himalayan Guides Everest Expedition 2003,TRUE,5,2,0,TRUE
EVER03132,EVER,2003,1,Canada,Glenn Edwards,Atlas Cold Storage Fire Fighter Everest Expedition 2003,FALSE,3,0,0,FALSE
EVER03133,EVER,2003,1,Ireland,Pat Falvey,British Everest Expedition 2003,TRUE,6,2,0,TRUE
EVER03134,EVER,2003,1,USA,Robert Anderson,Jagged Globe Everest Expedition 2003,TRUE,12,5,0,TRUE
EVER03135,EVER,2003,1,USA,Benjamin Clark,Mountain Dream to Everest,TRUE,1,1,0,TRUE
EVER03136,EVER,2003,1,USA,Adrian Nature,Independent climber,FALSE,1,0,0,FALSE
EVER03137,EVER,2003,1,UK,Nick Arding,Royal Navy & Royal Marines Everest North Ridge 2003,TRUE,13,1,0,TRUE
EVER03138,EVER,2003,1,UK,Richard Dougan,Northern Ireland Everest Expedition,TRUE,6,2,0,TRUE
EVER03139,EVER,2003,1,USA,Jim Wickwire,Everest Expedition,TRUE,4,2,0,TRUE
EVER03140,EVER,2003,1,Japan,Yasunari Yamashita,Tokyo University of Agriculture Alpine Club Everest-Lhotse Exped,TRUE,9,5,0,TRUE
EVER03141,EVER,2003,1,New Zealand,Russell Brice,Himalayan Experience (Himex) Everest Expedition 2003,TRUE,9,8,0,TRUE
EVER03142,EVER,2003,1,USA,Craig John,International Mountain Guides (IMG) Expedition 2003 Everest North,TRUE,8,1,0,TRUE
EVER03143,EVER,2003,1,UK,Terence Stubbs,Adventure Extreme Everest Expedition 2003,FALSE,7,0,0,TRUE
EVER03144,EVER,2003,1,USA,Russell Brice,Global Extremes Everest Expedition,TRUE,11,6,0,TRUE
EVER03145,EVER,2003,1,UK,Ian Woodall,Everest NE Face Expedition,FALSE,2,0,0,TRUE
EVER03146,EVER,2003,1,Brazil,Paulo Coelho,Independent team on Everest,FALSE,2,0,0,FALSE
EVER03171,EVER,2003,1,Austria,Wilfried Studer,Independent team on Everest,FALSE,2,0,0,FALSE
EVER03148,EVER,2003,1,France,"Olivier Besson, Pierre Blanc",Everest 2003 (Etienne permit),TRUE,2,2,0,TRUE
EVER03149,EVER,2003,1,Spain,Alberto Rodriguez,Guardia Civil Expedition 2003,TRUE,10,1,0,TRUE
EVER03150,EVER,2003,1,France,"Bertrand Camus, Alain Paret",Nomad Everest Expedition 2003,FALSE,2,0,0,FALSE
EVER03151,EVER,2003,1,Spain,Martin Ramos Garcia,Independent climber on Everest,FALSE,1,0,0,FALSE
EVER03152,EVER,2003,1,Switzerland,Karl Kobler,Kobler & Partner Everest Expedition 2003,FALSE,16,0,0,TRUE
EVER03153,EVER,2003,1,Spain,Sergi Mingote Moreno,Evve 50th to Everest,TRUE,1,1,0,TRUE
EVER03154,EVER,2003,1,Russia,Alexander Abramov,Russian Everest 2003,TRUE,12,3,0,TRUE
EVER03155,EVER,2003,1,Russia,Viatcheslav Skripko,Independent team on Everest,FALSE,2,0,0,TRUE
EVER03156,EVER,2003,1,Belgium,Andre Menu,Nomad Everest Expedition 2003,FALSE,1,0,0,FALSE
EVER03157,EVER,2003,1,S Korea,Kim Jong-Gyu,Konkuk University Alpine Club 2003 Everest Expedition,FALSE,6,0,0,TRUE
EVER03158,EVER,2003,1,Estonia,Toivo Sarmet,Estonian Everest Expedition 2003,TRUE,8,2,0,TRUE
EVER03159,EVER,2003,1,Japan,Takashi Amemiya,Yeti 2003 Mt Everest Expedition,TRUE,14,5,0,TRUE
EVER03160,EVER,2003,1,Japan,Jun Yasamura,Gorilla & Kame Chomolungna Expedition 2003,TRUE,4,2,0,TRUE
EVER03161,EVER,2003,1,Poland,Krysztof Liszewski,Independent climber on Everest,FALSE,1,0,1,FALSE
EVER03162,EVER,2003,1,Russia,Anatoli Moshnikov,St. Petersburg Everest 2003 Jubilee Expedition,TRUE,9,1,0,TRUE
EVER03163,EVER,2003,1,Czech Republic,Petr Machold,Czech Everest Expedition,FALSE,2,0,0,FALSE
EVER03164,EVER,2003,1,Romania,David Neacsu,Romanian Everest Expedition 2003,TRUE,16,6,0,TRUE
EVER03165,EVER,2003,1,China,Wang Yong-Feng,"2003 Chinese SOHU Qomolungma ""Standing on the 3rd Pole"" Expedition",TRUE,18,6,0,TRUE
EVER03166,EVER,2003,1,S Korea,Kang Tae-Sun,Seoul-Tibet Joint Expedition 2003,TRUE,24,9,0,TRUE
EVER03168,EVER,2003,1,USA,Scott Woolums,Adventures International Everest 2003,TRUE,4,2,0,TRUE
EVER03169,EVER,2003,1,Nepal,Ungdi Tshering Sherpa,First Differently-abled Sherpa Expedition,FALSE,1,0,0,FALSE
EVER03170,EVER,2003,1,UK,David Pritt,"Ireland, USA, Adventure Peaks Everest Expedition 2003",FALSE,6,0,0,TRUE
EVER03167,EVER,2003,1,Spain,Josu Feijoo,Independent climber on Everest,FALSE,1,0,0,FALSE
EVER03116,EVER,2003,1,Spain,Rosa Maria Fernandez,Independent climber,FALSE,1,0,0,TRUE
EVER03123,EVER,2003,1,India,Vijay Singh Thakur,,TRUE,16,2,0,TRUE
HCHI03101,HCHI,2003,1,S Korea,Koo Kyoung-Mo,2003 Korean Student Alpine Federation Hungchi Expedition,TRUE,8,5,0,FALSE
HCHI03102,HCHI,2003,1,Japan,Takashi Shiro,Osaka Eiho Alpine Club Hungchi Expedition 2003,TRUE,4,3,0,FALSE
HIML03101,HIML,2003,1,Spain,Inigo Loyola,Basque Himlung Himalaya Expedition,TRUE,8,5,0,FALSE
JANU03101,JANU,2003,1,Switzerland,Erhard Loretan,Swiss Jannu Expedition 2003,FALSE,4,0,0,FALSE
KANG03101,KANG,2003,1,UK,Alan Hinkes,,FALSE,1,0,0,FALSE
KANG03102,KANG,2003,1,USA,Gary Pfisterer,International Kangchenjunga Expedition,FALSE,6,0,0,FALSE
