expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
EVER14116,EVER,2014,1,New Zealand,"Russell Brice, Mark Woodward",Himalayan Experience (Himex) Everest Expedition 2014,FALSE,22,0,0,FALSE
DHA114103,DHA1,2014,1,Iran,Parvaneh Kazemi,First Iranian Woman on Dhaulagiri,FALSE,1,0,0,FALSE
EVER14101,EVER,2014,1,Nepal,"Dawa Steven Sherpa, Asian Trekking Staff",Asian Trekking Eco-Everest Expedition 2014,FALSE,18,0,0,FALSE
EVER14102,EVER,2014,1,USA,"William Burke, Asian Trekking",Asian Trekking International Everest Expedition 2014,TRUE,14,5,0,TRUE
EVER14121,EVER,2014,1,China,Wangchen Sonam,Holy Mountain Adventure Everest Expedition 2014,TRUE,8,5,0,TRUE
AMAD13338,AMAD,2013,3,UK,Jon Gupta,Jon Gupta Ama Dablam Expedition 2013,TRUE,8,7,0,FALSE
AMAD13339,AMAD,2013,3,Norway,Haavard Gjerdset,Peaks of Nepal Ama Dablam Expedition 2013,FALSE,7,0,0,FALSE
AMAD13340,AMAD,2013,3,Switzerland,Stephan Saegesser,Ama Dablam Expedition 2013,FALSE,9,0,0,FALSE
AMAD13341,AMAD,2013,3,New Zealand,Herwin Bongers,,FALSE,1,0,0,FALSE
AMAD13342,AMAD,2013,3,Poland,Bartosz Koba,,FALSE,1,0,0,FALSE
AMAD13343,AMAD,2013,3,UK,Sandy Allan,Team Ascent Ama Dablam Expedition 2013,FALSE,7,0,0,FALSE
AMAD13344,AMAD,2013,3,Austria,Sabrinia Filzmoser,,FALSE,3,0,0,FALSE
AMAD13347,AMAD,2013,3,Indonesia,Sofyan Arief Fesa,Snowy Horizon Ama Dablam Expedition 2013,FALSE,7,0,0,FALSE
AMAD13346,AMAD,2013,3,Slovenia,Janez Levec,Slovenian Ama Dablam Expedition 2013,TRUE,4,4,0,FALSE
AMAD13349,AMAD,2013,3,Spain,Carlos Campos,,TRUE,5,3,0,FALSE
AMAD13114,AMAD,2013,1,Poland,Boguslaw Magrel,Polish Ama Dablam Expedition 2013,FALSE,5,0,0,FALSE
AMAD13115,AMAD,2013,1,USA,Mark Graham,,FALSE,2,0,0,FALSE
GYAJ13302,GYAJ,2013,3,France,Pierre Hentgen,Gyajikang French Expedition Autumn 2013,FALSE,5,0,0,FALSE
